Breyer,Ginsburg,Kennedy,O'Conner,Rehnquist,Scalia,Souter,Stevens,Thomas
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,-1,-1,1,1,-1
-1,-1,1,1,1,1,-1,-1,1
1,-1,1,-1,1,1,-1,-1,1
1,1,1,-1,-1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,-1,1,1,1,1,1,-1,1
1,1,1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,-1,1,-1,-1,1,1,-1
1,1,1,-1,1,-1,1,1,1
1,1,1,1,-1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,-1,-1,1,-1
1,1,-1,1,-1,-1,1,1,-1
1,1,-1,1,1,-1,1,1,-1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,-1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,-1,1,1,1
1,1,-1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,-1,1,1,-1,1
1,1,1,1,-1,-1,1,1,-1
1,1,1,1,1,-1,1,-1,-1
-1,-1,1,1,1,1,-1,-1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,-1,1,1,-1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,-1,1,-1,1,-1,1
-1,1,1,-1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,-1,1,1,-1
1,1,-1,1,1,-1,1,1,-1
1,1,1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,-1,1,-1,-1,1,1,-1
-1,-1,1,1,1,1,-1,-1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,-1,1,1,1,-1,-1,1,-1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,-1,1,-1,-1,1,1,-1
1,1,1,-1,-1,-1,1,1,-1
-1,1,1,1,1,1,1,-1,1
-1,-1,1,-1,1,1,1,1,1
1,1,1,1,1,-1,1,1,1
1,1,-1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,-1,-1,-1,1,1,-1,1
-1,-1,1,-1,1,1,-1,1,1
1,1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,-1,1,1,-1
1,1,1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,-1,1,1,1,1,1,1,1
-1,1,1,1,1,-1,1,-1,-1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
-1,-1,1,-1,1,1,1,-1,1
1,1,-1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
-1,1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,-1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,-1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,-1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,-1,1
1,1,-1,1,-1,1,1,-1,1
-1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,-1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
-1,1,-1,-1,-1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
-1,1,1,1,1,-1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
1,-1,1,1,1,1,1,-1,1
1,-1,-1,-1,-1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,-1,1,1,-1
1,1,1,1,1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,-1,1,1,-1
1,-1,1,1,1,1,-1,-1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,-1,1,1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,-1,1,1,-1,1,1,-1
1,-1,1,1,1,1,1,-1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,-1,1,1,1,1,-1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,-1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,-1,-1,1,1,-1
1,1,-1,1,1,-1,1,-1,-1
-1,-1,1,1,1,1,-1,-1,1
1,1,-1,1,1,-1,1,-1,1
1,1,1,1,-1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
-1,1,1,-1,-1,-1,1,1,1
1,1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,-1,-1,-1,1,1,-1
1,1,-1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,-1,1
1,1,-1,1,1,1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,-1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,-1,-1,1,-1,1,1,1,1
1,1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,-1,-1,-1,1,1,-1
-1,-1,1,1,1,1,-1,-1,1
1,-1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-1,1,-1,-1,-1,1,1,1,1
1,1,1,1,1,1,1,1,-1
1,1,-1,1,1,1,1,-1,1
1,1,-1,1,-1,-1,1,1,-1
1,1,1,-1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1,1
-1,1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,-1,-1,-1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,-1,1,1,1,-1
1,1,1,1,1,1,1,1,1
-1,1,1,1,1,1,1,-1,1
1,1,1,1,1,-1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
-1,1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1
1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,-1,1,1,-1,-1,1,1,1
-1,-1,1,1,1,1,1,-1,1
1,1,1,1,1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,-1,-1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,-1,-1,-1,1,1,-1
1,1,1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,-1,1,1,-1
1,1,1,-1,1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,1,-1,1,-1,1,-1,1,1
1,1,-1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,-1,-1,-1,1,1,-1
1,1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,-1,1,1,1,1,1,-1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,-1,1,1,1,1,1,1
1,-1,-1,1,-1,1,1,1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,1,1
1,-1,1,1,1,1,-1,-1,1
1,-1,1,1,1,-1,-1,-1,1
1,-1,1,1,-1,-1,-1,1,1
1,1,1,1,1,-1,1,-1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,-1,1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,-1,1
1,1,1,1,1,-1,1,1,-1
1,1,1,-1,1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,-1,-1,-1,-1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,-1,1,1,1,1,1,-1,1
-1,-1,1,1,1,1,-1,-1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,-1,1,1,-1,-1,1,1,-1
1,1,1,1,-1,1,1,1,1
1,1,1,1,1,1,1,1,1
-1,1,1,1,1,-1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,-1,-1,-1,1,-1
-1,-1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,-1,1,1,1,-1,1
1,1,-1,-1,1,-1,1,1,-1
1,1,-1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,-1,1,1,1,1,-1,1
1,1,1,-1,1,-1,1,1,-1
-1,-1,1,1,1,1,-1,-1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,-1,-1,-1,1,1,-1
-1,-1,1,1,1,1,-1,-1,1
-1,1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,-1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,-1,1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
-1,1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-1,1,1,1,1,1,1,-1,1
-1,1,-1,1,1,1,-1,-1,1
1,-1,1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,-1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,-1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,-1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,-1,-1,1,-1,-1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,-1,-1,1,1,1,-1
1,1,1,1,-1,-1,1,1,1
-1,1,1,1,1,1,1,-1,1
1,-1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
-1,1,1,-1,1,1,-1,-1,1
1,1,-1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,-1,1,-1,1,1,-1
1,1,1,1,1,-1,1,1,-1
1,1,1,1,1,1,1,-1,1
1,1,1,1,1,-1,1,1,1
1,1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,-1,1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,-1,1,-1,1,1,1,-1
1,1,1,1,1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,-1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,-1,1
1,1,1,1,-1,-1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,-1,-1,1
1,-1,1,1,1,1,1,-1,1
1,-1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,-1,1,1,-1,1,1,-1
1,1,1,-1,1,1,-1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-1,1,1,1,1,-1,1,1,1
1,1,1,1,1,1,1,1,1
1,-1,-1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,-1,1,1,1,-1
-1,-1,1,1,1,-1,1,1,-1
1,1,1,1,-1,-1,-1,1,-1
1,1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,-1,-1,1,-1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,-1,1,-1,-1,1,1,-1
1,1,1,-1,1,1,1,1,1
1,1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,-1
1,1,1,1,-1,-1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,-1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,-1,-1,1,1,-1
-1,1,1,-1,1,1,1,1,1
1,-1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,-1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,-1,1,-1,-1,1,1,-1
1,1,1,-1,1,-1,-1,1,-1
1,1,1,1,1,1,1,1,1
-1,1,1,-1,1,1,-1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,-1,1,1,1,-1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,-1,-1,1
1,1,1,1,1,1,-1,-1,1
1,1,1,-1,-1,-1,1,1,-1
1,1,1,-1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1